nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par ,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,quant_viagem
 GERVÁSIO AGRIPINO MAIA,M,81,11,5,36,19,5,14/04/1975,270049.07,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.0,10194.19,13781.2,1044.75,33763.0,1105894.42,111615.5,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,0
 GILLIANO FRED NASCIMENTO CUTRIM,M,76,16,5,22,31,4,26/10/1979,406001.14,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12653.68,75041.5,0.0,33763.0,1115308.02,111301.75,111301.75,111619.5,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,0
 GIOVANI CHERINI,M,86,6,3,40,16,3,23/06/1960,419082.83,35135.42,42357.46,49953.41,49975.7,53766.31,54876.19,39994.44,42715.35,21531.51,27017.18,1759.86,33763.0,1114323.38,111574.7,111574.7,111574.7,111574.7,111574.7,110520.47,111205.28,111574.71,111574.71,111574.71,0
 GILBERTO APARECIDO ABRAMO,M,85,7,2,19,7,1,06/08/1966,276601.65,18146.52,22003.33,27404.71,34209.75,32718.06,23558.03,15039.8,18280.76,12603.88,12846.34,59790.47,33763.0,1077796.52,106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08,0
 GILSON MARQUES VIEIRA,M,88,4,4,40,10,5,12/04/1981,50883.26,3483.84,5736.09,5095.21,6494.69,11767.82,7335.78,6816.37,1383.89,3.11,2766.46,0.0,33763.0,798657.16,78079.2,78079.2,78079.2,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44,0
 GILBERTO NASCIMENTO SILVA,M,65,27,27,29,12,3,09/07/1956,404619.88,42667.83,49626.23,52149.16,48827.83,41954.56,33307.84,45287.25,30344.91,25638.8,28819.14,5996.33,33763.0,1077002.9,110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74,0
 AMARO ROCHA NASCIMENTO NETO,M,92,0,0,20,7,0,04/12/1976,274104.12,42292.73,23497.16,34426.77,47806.82,44977.07,20179.17,24764.49,7547.57,18792.57,8484.32,1335.45,33763.0,1112084.94,111222.9,111222.9,111222.9,111222.9,111222.9,110933.36,111259.27,111259.27,111259.27,111259.27,0
 Alexis Joseph Steverlynck Fonteyne,M,87,5,0,69,10,0,19/08/1967,176004.2,15079.3,25352.66,23786.49,17575.86,19090.52,15633.19,14939.48,14874.72,14285.99,14835.99,550.0,33763.0,588885.13,61420.54,57990.13,52202.06,51959.82,52576.18,60029.82,67419.11,64529.03,60379.22,60379.22,0
 ALUISIO GUIMARAES MENDES FILHO,M,89,3,1,72,22,0,11/11/1961,317362.69,25340.8,36588.93,41060.22,31580.5,47983.46,29134.59,32169.0,33370.12,18433.71,21701.36,0.0,33763.0,1054299.62,100867.02,99710.02,103375.35,105273.59,107753.29,105155.9,106424.88,107753.29,108904.58,109081.7,0
 ALTINEU CÔRTES FREITAS COUTINHO,M,70,22,22,0,0,0,13/09/1968,186690.17,22950.23,23219.48,33714.07,29471.47,28820.9,22012.04,2946.96,3780.62,1343.75,17254.49,1176.16,33763.0,1085480.54,101858.85,106309.6,106309.6,108949.45,109609.41,109433.7,108595.22,111471.57,111471.57,111471.57,0
 ANDRE DOS SANTOS ABDON,M,90,2,0,5,40,0,10/11/1970,401346.39,39635.39,56554.49,50324.98,62832.08,41453.8,28539.51,28094.2,30183.38,21202.11,38003.15,4523.3,33763.0,1110523.74,111623.17,111623.17,110842.44,110847.15,110559.33,111023.24,110484.74,111194.25,111641.56,110684.69,0
 ANDRÉ CARLOS ALVES DE PAULA FILHO,M,76,16,16,0,0,0,22/07/1961,340822.48,34262.23,35056.09,41491.46,36132.62,46281.81,38561.19,41546.24,23271.3,16356.59,27862.95,0.0,33763.0,1107604.68,109116.87,111004.52,111278.47,111611.12,110204.24,109741.82,111647.49,111424.82,111426.29,110149.04,0
 GIOVANI BATISTA FELTES,M,91,1,0,18,4,0,10/04/1957,296462.55,32091.85,37369.29,35989.03,63623.79,29111.39,20875.74,31955.95,26391.45,8680.69,8989.17,1384.2,33763.0,1095245.29,111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48,0
